stockCode,stockNameEn,stockNameZh
00565,ART GROUP HOLD,錦藝集團控股
00566,HANERGY TFP,漢能薄膜發電
00567,DAISHOMICROLINE,大昌微綫集團
00568,SHANDONG MOLONG,山東墨龍
00569,CH AUTOMATION,中國自動化
00570,TRAD CHI MED,中國中藥
00571,ESUN HOLDINGS,豐德麗控股
00572,FUTURE WORLD FH,未來世界金融
00573,TAO HEUNG HLDGS,稻香控股
00574,PASHUN PHARMA,百信藥業
00575,REGENT PACIFIC,勵晶太平洋
00576,ZHEJIANGEXPRESS,浙江滬杭甬
00577,THE 13 HOLDINGS,十三集團
00578,ROSAN RES,融信資源
00579,JNCEC,京能清潔能源
00580,SUN.KING ELEC,賽晶電力電子
00581,CHINA ORIENTAL,中國東方集團
00582,LANDING INTL,藍鼎國際
00583,GWPA HOLDINGS,長城環亞控股
00585,IMAGI INT'L,意馬國際
00586,CONCH VENTURE,海螺創業
00587,HUA HAN HEALTH,華瀚健康
00588,BEIJING N STAR,北京北辰實業股份
00589,PORTICO INT'L,寶國國際
00590,LUK FOOK HOLD,六福集團
00591,C HIGHPRECISION,中國高精密
00592,BOSSINI INT'L,BOSSINI INT'L
00593,SKYOCEAN INTL,天洋國際控股
00595,AV CONCEPT HOLD,AV CONCEPT HOLD
00596,INSPUR INT'L,浪潮國際
00598,SINOTRANS,中國外運
00599,E. BON HOLDINGS,怡邦行控股
00600,CHINA INFRA INV,中國基建投資
00601,GROUP SENSE,權智（國際）
00602,JIAHUA STORES H,佳華百貨控股
00603,CHINA OIL & GAS,中油燃氣
00604,SHENZHEN INVEST,深圳控股
00605,C FIN SERVICES,中國金融投資管理
00606,CHINA AGRI,中國糧油控股
00607,FULLSHARE,豐盛控股
00608,HIGH FASHION,達利國際
00609,TIANDE CHEMICAL,天德化工
00610,WAI KEE HOLD,WAI KEE HOLD
00611,CNE TECH CORP,中國核能科技
00613,YUGANG INT'L,YUGANG INT'L
00616,EMINENCE ENT,高山企業
00617,PALIBURG HOLD,百利保控股
00618,PKU RESOURCES,北大資源
00619,SOUTH CHINA FIN,南華金融
00620,DTXS SILK ROAD,大唐西市
00621,TAUNG GOLD,壇金礦業
00622,ENERCHINA HOLD,威華達控股
00623,SINOMEDIA,中視金橋
00626,PUBLIC FIN HOLD,大眾金融控股
00627,U-RIGHT INT'L,佑威國際
00628,GOME FIN TECH,國美金融科技
00629,YUE DA MINING,悅達礦業
00630,AMCO UNITED,雋泰控股
00631,SANY INT'L,三一國際
00632,PEARLORIENT OIL,東方明珠石油
00633,CH ALL ACCESS,中國全通
00635,PLAYMATES-NEW,彩星集團
00636,KERRY LOG NET,嘉里物流
00637,LEE KEE,利記
00638,KIN YAT HOLD,建溢集團
00639,SHOUGANG RES,首鋼資源
00640,INFINITY DEV,星謙發展
00641,CHTC FONG'S,恒天立信
00643,CARRY WEALTH,恆富控股
00645,ARES ASIA,安域亞洲
00646,CHINA ENV TEC,中國環保科技
00647,JOYCE BOUTIQUE,JOYCE BOUTIQUE
00648,WAH YAN HEALTH,中國華仁醫療
00650,IDG ENERGY,ＩＤＧ能源
00651,CHI OCEAN IND,中海重工
00653,BONJOUR HOLD,卓悅控股
00655,HK CHINESE LTD,香港華人有限公司
00656,FOSUN INTL,復星國際
00657,G-VISION INT'L,環科國際
00658,C TRANSMISSION,中國高速傳動
00659,NWS HOLDINGS,新創建集團
00660,WAI CHUN MINING,偉俊礦業集團
00661,CDAYENONFER,中國大冶有色金屬
00662,ASIA FINANCIAL,亞洲金融
00663,KING STONE ENGY,金山能源
00665,HAITONG INT'L,海通國際
00668,DOYEN INTL HOLD,東銀國際控股
00669,TECHTRONIC IND,創科實業
00670,CHINA EAST AIR,中國東方航空股份
00672,ZHONGAN REALEST,眾安房產
00673,CHINA HEALTH,中國衛生控股
00674,CULTURELANDMARK,文化地標投資
00675,K & P INT'L,堅寶國際
00676,PEGASUS INT'L,創信國際
00677,GOLDEN RES DEV,金源米業
00678,GENTING HK,雲頂香港
00679,ASIA TELE-NET,亞洲聯網科技
00680,NAN HAI CORP,南海控股
00681,CHI PEOPLE HOLD,中民控股
00682,CHAODA MODERN,超大現代
00683,KERRY PPT,嘉里建設
00684,ALLAN INT'L,亞倫國際
00685,MEDIA CHINESE,世界華文媒體
00686,UNITED PV,聯合光伏
00687,HKICIM GROUP,香港國際建投
00688,CHINA OVERSEAS,中國海外發展
00689,EPI (HOLDINGS),長盈集團（控股）
00690,UNI-BIO GROUP,聯康生物科技集團
00691,SHANSHUI CEMENT,山水水泥
00692,CHINA HOUSEHOLD,中國家居
00693,TAN CHONG INT'L,陳唱國際
00694,BEIJING AIRPORT,北京首都機場股份
00695,DONGWU CEMENT,東吳水泥
00696,TRAVELSKY TECH,中國民航信息網絡
00697,SHOUGANG INT'L,SHOUGANG INT'L
